y,difficulty,human_pred,ai_pred,human_conf,ai_conf
1,0.7687368078106284,1,1,0.7890810236094864,0.7120245828243527
1,0.15367745762984852,1,0,0.9561067257312025,0.7292080868474015
0,0.3262972578492902,0,0,0.8466148092443866,0.7964433187535545
0,0.827238421640167,0,1,0.7782009678653047,0.4373378094434444
1,0.48353827830790225,0,1,0.44176860909615834,0.7047729920183707
0,0.7760967004948838,1,0,0.40747143953691967,0.7900408210638371
1,0.1931650154737753,1,1,0.9142527488233985,0.8540905407621656
0,0.6448673909088856,1,1,0.4247805428519393,0.44812595715126113
0,0.5171522702256081,0,1,0.776958812602249,0.5015838735584205
0,0.5493364109068043,0,0,0.857824674354629,0.8052907514057954
1,0.5337328928885867,1,1,0.895544995839541,0.7831662151955713
1,0.17925019015465057,0,1,0.4725502805379725,0.8342366732399685
1,0.280491223059095,1,0,0.8582858502953724,0.40084705123134445
0,0.33711642247498863,0,1,0.8304114975792445,0.42546759708066867
0,0.15780700754318114,0,0,0.8307527914808108,0.7351835636165467
0,0.6807836108502819,0,1,0.8404018997810188,0.49629431667967616
0,0.48937907444477424,0,0,0.8331927181141567,0.8689036118671973
1,0.6544363389434757,1,0,0.7297921966749803,0.4213867633232713
1,0.6135604465391138,1,1,0.8053727841534922,0.8090746945507133
1,0.4035913794426917,1,1,0.7626540667062204,0.7575642247699033
1,0.24841897718963382,1,1,0.8774129425968663,0.8345843722424817
0,0.6985934116321245,0,1,0.7623637276740596,0.3981899253263923
0,0.6655553058047902,1,0,0.4440902334241867,0.757635153746277
1,0.5242845018516896,0,0,0.4847563674393289,0.6374325494519568
0,0.6792692568891533,0,0,0.7418634843150244,0.8028133747950821
1,0.41533472211854805,1,1,0.8305008535691164,0.8390971854083717
1,0.3797957605728912,0,1,0.5563922272340055,0.8343129642278447
0,0.38121128217051,0,0,0.7396994330427894,0.720812084752912
1,0.35508245587846543,1,0,0.9359998442658677,0.5531010279977673
0,0.5311481077596143,1,1,0.45721260294139604,0.517688904548903
0,0.8887095175903122,0,0,0.6833842446807851,0.8301766846894132
0,0.792043899858825,1,0,0.41319399815335056,0.7675305770878389
0,0.48309163069903244,0,0,0.78659187698787,0.6833910096978781
0,0.16856881212901148,1,1,0.4877537251769157,0.4716194313587576
0,0.8673382587151925,1,1,0.4090245623967327,0.5476355030143336
0,0.8648508877127795,1,0,0.3590672561915776,0.7785699471771425
0,0.44383503299592936,0,0,0.7385954078369729,0.7429973839711562
1,0.9513277498257418,0,1,0.506658603316795,0.84831814641918
0,0.8787954545818897,0,1,0.7144940172591,0.3961429887405779
1,0.3212913806229922,1,0,0.9151099435268448,0.47579722107856487
1,0.2741606242720409,1,0,0.8725300660885156,0.4443100457599205
1,0.6250878120209233,0,1,0.4407781312059414,0.7229064153314969
0,0.10625369267017476,0,0,0.9107090424989874,0.8575573286586008
1,0.5490836306862328,1,0,0.7642799753336618,0.4327438352018859
1,0.718280409510367,1,1,0.7849278387629905,0.6097206384898282
0,0.19275330861412096,0,1,0.7489110491030471,0.472996057334743
1,0.02206153353152376,1,1,0.9053669441570794,0.99
1,0.5966799725747916,0,1,0.38834840068823845,0.8048877083132367
0,0.6822781641237673,0,1,0.7494119187179951,0.41775150443641174
1,0.6960026008105544,0,0,0.34571478510788645,0.47351783572692197
0,0.5511399236419668,0,1,0.7459968336187467,0.5826379196274215
0,0.4959207393101614,0,0,0.8651481076626952,0.7538089011842674
1,0.6815878373033055,0,0,0.46864561091636736,0.41949474860192604
0,0.41986445619885526,1,1,0.41993530546768487,0.4392432390859316
0,0.8367878273626541,0,1,0.644934578953113,0.5044010912547507
0,0.07213705172059885,0,1,0.9037223940249284,0.6694997350098388
1,0.5863818813254531,1,1,0.7213784637486138,0.7949083542454012
1,0.4766605247516725,1,1,0.8577138969928827,0.8314690990914674
1,0.3517254807948359,1,0,0.7793748477550715,0.4726295029385777
0,0.7675807933959217,1,0,0.3873610934586136,0.7770576560445468
0,0.5112472145720767,0,1,0.7052495704135568,0.41444780443831897
0,0.47784833949499483,1,0,0.5596533780060093,0.8502255121658817
0,0.5768410373852991,0,0,0.9063993152597998,0.891447921755028
0,0.7561282761472033,0,0,0.7201631067714123,0.8076076419028793
1,0.5664041915848064,0,1,0.470859633157097,0.8508851166476474
1,0.41265817723151826,1,1,0.7682529213271038,0.7909537379403269
0,0.6844808481782274,1,1,0.4752446924083106,0.38159802752358063
1,0.9640418404591437,1,0,0.6518347153041861,0.5047062381081764
0,0.683037972423546,1,0,0.36696458192965087,0.7191864113334215
1,0.5650591498000572,1,0,0.8590845599717276,0.5151186879740317
0,0.6740992101281538,0,1,0.8195538498320598,0.5156439669232189
